"Region","Total Adults","Male Adults","Female Adults","Adults Aged 18-24","Adults Aged 25-44","Adults Aged 45-64","Adults Aged 65+"+,"Number of people who accessed Private Emergency Accommodation","Number of people who accessed Supported Temporary Accommodation","Number of people who accessed Temporary Emergency Accommodation","Number of people who accessed Other Accommodation","Number of Families","Number of Adults in Families","Number of Single-Parent families","Number of Dependants in Families","month","quarter","year"
Dublin,4173,2640,1533,481,2439,1197,56,2299,1889,39,0,871,1276,466,1979,"june",2,2020
MidEast,309,197,112,41,166,94,8,210,105,4,0,61,86,36,146,"june",2,2020
Midlands,97,56,41,15,61,20,1,71,10,16,0,17,24,10,42,"june",2,2020
MidWest,291,193,98,38,161,84,8,90,169,32,0,46,59,33,78,"june",2,2020
NorthEast,119,76,43,18,65,24,12,32,52,35,0,16,21,11,34,"june",2,2020
NorthWest,69,53,16,12,38,18,1,28,30,10,1,5,7,3,12,"june",2,2020
SouthEast,189,141,48,27,102,54,6,49,140,0,0,10,12,8,13,"june",2,2020
SouthWest,502,334,168,52,312,120,18,312,191,0,0,68,100,36,179,"june",2,2020
West,297,165,132,47,159,79,12,158,139,0,0,65,97,33,170,"june",2,2020
