"Region","Total Adults","Male Adults","Female Adults","Adults Aged 18-24","Adults Aged 25-44","Adults Aged 45-64","Adults Aged 65+"+,"Number of people who accessed Private Emergency Accommodation","Number of people who accessed Supported Temporary Accommodation","Number of people who accessed Temporary Emergency Accommodation","Number of people who accessed Other Accommodation","Number of Families","Number of Adults in Families","Number of Single-Parent families","Number of Dependants in Families","month","quarter","year"
Dublin,4243,2749,1494,487,2458,1228,70,2396,1856,37,0,783,1150,416,1914,"november",4,2020
MidEast,323,208,115,49,173,90,11,215,104,4,0,60,84,36,134,"november",4,2020
Midlands,79,45,34,19,40,18,2,51,11,17,0,21,26,16,46,"november",4,2020
MidWest,287,187,100,26,182,74,5,71,183,33,0,34,43,25,53,"november",4,2020
NorthEast,95,71,24,8,56,22,9,29,43,23,0,9,10,8,17,"november",4,2020
NorthWest,75,49,26,17,38,19,1,37,25,11,2,7,11,3,16,"november",4,2020
SouthEast,174,126,48,30,90,48,6,52,122,0,0,16,22,10,25,"november",4,2020
SouthWest,504,344,160,61,283,143,17,337,171,0,0,58,79,37,142,"november",4,2020
West,252,146,106,48,122,73,9,115,137,0,0,46,71,21,105,"november",4,2020
