"Region","Total Adults","Male Adults","Female Adults","Adults Aged 18-24","Adults Aged 25-44","Adults Aged 45-64","Adults Aged 65+"+,"Number of people who accessed Private Emergency Accommodation","Number of people who accessed Supported Temporary Accommodation","Number of people who accessed Temporary Emergency Accommodation","Number of people who accessed Other Accommodation","Number of Families","Number of Adults in Families","Number of Single-Parent families","Number of Dependants in Families","month","quarter","year"
Dublin,"4,268","2,498","1,770",510,"2,495","1,180",83,"1,992","2,250",58,0,1162,1682,642,"2,553","december",4,2019
MidEast,310,197,113,41,166,92,11,189,117,4,0,71,106,36,169,"december",4,2019
Midlands,98,48,50,11,51,33,3,62,12,24,0,23,30,16,53,"december",4,2019
MidWest,335,212,123,51,179,97,8,112,188,35,0,76,96,56,126,"december",4,2019
NorthEast,127,72,55,19,64,33,11,75,51,1,0,12,14,10,24,"december",4,2019
NorthWest,58,41,17,9,32,16,1,18,28,11,1,9,11,7,18,"december",4,2019
SouthEast,205,151,54,30,112,55,8,54,149,0,2,8,10,6,19,"december",4,2019
SouthWest,548,337,211,68,332,127,21,317,234,0,0,109,148,70,263,"december",4,2019
West,360,210,150,45,198,102,15,208,150,0,2,78,118,38,197,"december",4,2019
