"Region","Total Adults","Male Adults","Female Adults","Adults Aged 18-24","Adults Aged 25-44","Adults Aged 45-64","Adults Aged 65+"+,"Number of people who accessed Private Emergency Accommodation","Number of people who accessed Supported Temporary Accommodation","Number of people who accessed Temporary Emergency Accommodation","Number of people who accessed Other Accommodation","Number of Families","Number of Adults in Families","Number of Single-Parent families","Number of Dependants in Families","month","quarter","year"
Dublin,"4,175","2,724","1,451",485,"2,397","1,225",68,"2,372","1,858",33,0,742,1121,363,"1,823","january",1,2021
MidEast,329,218,111,51,172,95,11,206,120,3,0,59,81,37,152,"january",1,2021
Midlands,66,36,30,17,30,17,2,39,11,16,0,14,15,13,31,"january",1,2021
MidWest,295,200,95,29,181,80,5,71,190,34,0,29,37,21,45,"january",1,2021
NorthEast,85,66,19,12,43,22,8,25,38,22,0,1,2,0,1,"january",1,2021
NorthWest,84,61,23,19,45,19,1,36,32,13,3,6,8,4,12,"january",1,2021
SouthEast,181,132,49,28,94,50,9,58,123,0,0,19,25,13,32,"january",1,2021
SouthWest,503,354,149,67,282,140,14,342,163,0,0,50,73,27,122,"january",1,2021
West,269,159,110,52,131,78,8,127,142,0,0,46,68,24,108,"january",1,2021
