"Region","Total Adults","Male Adults","Female Adults","Adults Aged 18-24","Adults Aged 25-44","Adults Aged 45-64","Adults Aged 65+"+,"Number of people who accessed Private Emergency Accommodation","Number of people who accessed Supported Temporary Accommodation","Number of people who accessed Temporary Emergency Accommodation","Number of people who accessed Other Accommodation","Number of Families","Number of Adults in Families","Number of Single-Parent families","Number of Dependants in Families","month","quarter","year"
Dublin,4600,2773,1827,577,2687,1250,86,2349,2278,62,0,1201,1735,667,2678,"january",1,2020
MidEast,301,186,115,40,160,90,11,183,114,4,0,68,98,38,156,"january",1,2020
Midlands,109,58,51,22,58,28,1,73,12,24,0,25,34,16,56,"january",1,2020
MidWest,341,208,133,48,189,97,7,121,182,38,0,85,106,64,147,"january",1,2020
NorthEast,128,77,51,18,63,36,11,70,56,2,0,22,25,19,32,"january",1,2020
NorthWest,67,45,22,14,34,18,1,19,31,11,6,9,11,7,21,"january",1,2020
SouthEast,222,160,62,35,122,56,9,58,162,0,2,11,14,8,21,"january",1,2020
SouthWest,578,358,220,73,342,138,25,328,254,0,0,111,159,63,264,"january",1,2020
West,351,202,149,42,195,101,13,205,144,0,2,79,115,43,199,"january",1,2020
