"Region","Total Adults","Male Adults","Female Adults","Adults Aged 18-24","Adults Aged 25-44","Adults Aged 45-64","Adults Aged 65+"+,"Number of people who accessed Private Emergency Accommodation","Number of people who accessed Supported Temporary Accommodation","Number of people who accessed Temporary Emergency Accommodation","Number of people who accessed Other Accommodation","Number of Families","Number of Adults in Families","Number of Single-Parent families","Number of Dependants in Families","month","quarter","year"
Dublin,"4,129","2,693","1,436",475,"2,375","1,213",66,"2,273","1,952",34,0,716,"1,083",349,"1,760","february",1,2021
MidEast,335,221,114,50,181,94,10,201,131,3,0,54,73,35,150,"february",1,2021
Midlands,74,42,32,21,38,14,1,48,9,17,0,17,20,14,37,"february",1,2021
MidWest,293,203,90,33,177,79,4,68,192,33,0,29,37,21,47,"february",1,2021
NorthEast,97,76,21,15,50,24,8,25,47,25,0,1,1,1,3,"february",1,2021
NorthWest,84,60,24,17,47,19,1,36,32,15,1,5,7,3,8,"february",1,2021
SouthEast,180,134,46,32,85,54,9,56,124,0,0,19,26,12,32,"february",1,2021
SouthWest,503,359,144,77,276,139,11,338,173,0,0,42,61,23,107,"february",1,2021
West,279,163,116,56,142,74,7,133,146,0,0,52,76,27,120,"february",1,2021
