"Region","Total Adults","Male Adults","Female Adults","Adults Aged 18-24","Adults Aged 25-44","Adults Aged 45-64","Adults Aged 65+"+,"Number of people who accessed Private Emergency Accommodation","Number of people who accessed Supported Temporary Accommodation","Number of people who accessed Temporary Emergency Accommodation","Number of people who accessed Other Accommodation","Number of Families","Number of Adults in Families","Number of Single-Parent families","Number of Dependants in Families","month","quarter","year"
Dublin,4069,2669,1400,513,2368,1128,60,2200,1889,27,0,702,1045,359,1684,"june",2,2021
MidEast,322,215,107,53,164,95,10,196,123,3,0,47,64,30,111,"june",2,2021
Midlands,75,48,27,19,41,14,1,49,10,16,0,12,13,11,22,"june",2,2021
MidWest,281,195,86,32,171,73,5,50,198,33,0,31,37,25,46,"june",2,2021
NorthEast,96,72,24,9,52,25,10,21,54,21,0,8,11,5,18,"june",2,2021
NorthWest,81,55,26,18,40,22,1,37,28,13,3,6,7,5,13,"june",2,2021
SouthEast,173,130,43,26,100,42,5,35,138,0,0,14,20,8,25,"june",2,2021
SouthWest,492,351,141,61,272,141,18,333,165,0,0,46,54,38,94,"june",2,2021
West,258,150,108,47,122,79,10,124,134,0,0,66,99,33,154,"june",2,2021
