"Region","Total Adults","Male Adults","Female Adults","Adults Aged 18-24","Adults Aged 25-44","Adults Aged 45-64","Adults Aged 65+"+,"Number of people who accessed Private Emergency Accommodation","Number of people who accessed Supported Temporary Accommodation","Number of people who accessed Temporary Emergency Accommodation","Number of people who accessed Other Accommodation","Number of Families","Number of Adults in Families","Number of Single-Parent families","Number of Dependants in Families","month","quarter","year"
Dublin,4188,2668,1520,480,2436,1200,72,2315,1888,38,0,862,1269,455,2017,"july",3,2020
MidEast,316,206,110,45,168,92,11,195,117,4,0,55,78,32,134,"july",3,2020
Midlands,95,58,37,18,57,19,1,68,10,17,0,19,25,13,44,"july",3,2020
MidWest,289,202,87,36,163,83,7,82,173,34,0,45,60,30,70,"july",3,2020
NorthEast,129,85,44,20,78,21,10,53,64,12,0,21,29,13,31,"july",3,2020
NorthWest,73,53,20,14,40,18,1,27,31,11,4,3,4,2,9,"july",3,2020
SouthEast,187,138,49,30,100,51,6,48,139,0,0,9,11,7,12,"july",3,2020
SouthWest,514,345,169,59,301,135,19,326,192,0,0,66,95,37,170,"july",3,2020
West,286,160,126,51,145,78,12,155,131,0,0,62,93,31,164,"july",3,2020
