"Region","Total Adults","Male Adults","Female Adults","Adults Aged 18-24","Adults Aged 25-44","Adults Aged 45-64","Adults Aged 65+"+,"Number of people who accessed Private Emergency Accommodation","Number of people who accessed Supported Temporary Accommodation","Number of people who accessed Temporary Emergency Accommodation","Number of people who accessed Other Accommodation","Number of Families","Number of Adults in Families","Number of Single-Parent families","Number of Dependants in Families","month","quarter","year"
Dublin,4550,2766,1784,580,2641,1222,107,2288,2289,60,0,1178,1721,635,2669,"february",1,2020
MidEast,312,191,121,42,171,89,10,186,122,4,0,76,109,43,167,"february",1,2020
Midlands,114,62,52,25,59,28,2,77,12,26,0,24,32,16,53,"february",1,2020
MidWest,347,213,134,52,196,92,7,120,184,43,0,85,104,66,148,"february",1,2020
NorthEast,124,71,53,15,64,32,13,69,54,1,0,23,27,19,34,"february",1,2020
NorthWest,63,45,18,9,37,16,1,21,31,10,1,7,9,5,17,"february",1,2020
SouthEast,217,161,56,32,120,57,8,53,162,0,2,13,16,10,19,"february",1,2020
SouthWest,572,362,210,78,332,139,23,313,260,0,0,103,144,62,244,"february",1,2020
West,315,187,128,48,162,93,12,165,150,0,0,101,160,42,183,"february",1,2020
