"Region","Total Adults","Male Adults","Female Adults","Adults Aged 18-24","Adults Aged 25-44","Adults Aged 45-64","Adults Aged 65+"+,"Number of people who accessed Private Emergency Accommodation","Number of people who accessed Supported Temporary Accommodation","Number of people who accessed Temporary Emergency Accommodation","Number of people who accessed Other Accommodation","Number of Families","Number of Adults in Families","Number of Single-Parent families","Number of Dependants in Families","month","quarter","year"
Dublin,"4,509","2,636","1,873",557,"2,635","1,228",89,"2,372","2,314",64,0,1256,1822,690,"2,782","november",4,2019
MidEast,322,197,125,43,183,85,11,199,120,3,0,82,121,43,190,"november",4,2019
Midlands,97,45,52,20,53,24,0,60,12,25,0,25,32,18,55,"november",4,2019
MidWest,369,222,147,49,214,98,8,137,190,42,0,76,99,53,140,"november",4,2019
NorthEast,141,85,56,24,75,32,10,84,57,0,0,20,23,17,33,"november",4,2019
NorthWest,67,49,18,11,39,16,1,22,30,11,4,6,8,4,17,"november",4,2019
SouthEast,238,170,68,44,120,65,9,59,169,0,10,15,21,9,31,"november",4,2019
SouthWest,592,361,231,81,351,139,21,338,254,0,0,119,168,70,289,"november",4,2019
West,361,208,153,53,197,95,16,223,136,0,2,86,128,44,215,"november",4,2019
