"Region","Total Adults","Male Adults","Female Adults","Adults Aged 18-24","Adults Aged 25-44","Adults Aged 45-64","Adults Aged 65+"+,"Number of people who accessed Private Emergency Accommodation","Number of people who accessed Supported Temporary Accommodation","Number of people who accessed Temporary Emergency Accommodation","Number of people who accessed Other Accommodation",Number of people with citizenship Irish,Number of people with citizenship EEA/Uk,Number of people with citizenship Non-EEA,"Number of Families","Number of Adults in Families","Number of Single-Parent families","Number of Dependants in Families","month","quarter","year"
Dublin,"5,258","3,416","1,842",934,"2,834",1411,79,"3,083","2,180",35,0,3002,1318,938,990,1661,502,2274,"june",2,2022
MidEast,414,271,143,74,201,122,17,254,152,4,4,288,76,50,77,134,35,156,"june",2,2022
Midlands,110,54,56,19,65,22,4,73,0,37,0,92,12,6,29,37,21,50,"june",2,2022
MidWest,373,220,153,45,210,107,11,105,240,38,0,305,39,29,75,103,59,140,"june",2,2022
NorthEast,96,65,31,11,56,23,6,26,70,0,0,76,13,7,13,22,6,30,"june",2,2022
NorthWest,79,51,28,6,50,21,2,32,35,12,0,65,11,3,11,14,8,19,"june",2,2022
SouthEast,248,179,69,41,144,57,6,84,164,0,0,205,26,17,28,38,20,51,"june",2,2022
SouthWest,555,376,179,65,313,164,13,356,202,0,0,421,76,58,74,106,49,145,"june",2,2022
West,288,157,131,51,142,84,11,175,113,0,0,236,27,25,88,129,50,206,"june",2,2022
