"Region","Total Adults","Male Adults","Female Adults","Adults Aged 18-24","Adults Aged 25-44","Adults Aged 45-64","Adults Aged 65+"+,"Number of people who accessed Private Emergency Accommodation","Number of people who accessed Supported Temporary Accommodation","Number of people who accessed Temporary Emergency Accommodation","Number of people who accessed Other Accommodation","Number of Families","Number of Adults in Families","Number of Single-Parent families","Number of Dependants in Families","month","quarter","year"
Dublin,4164,2641,1523,450,2434,1198,82,2336,1856,39,0,893,1309,477,2065,"may",2,2020
MidEast,318,207,111,42,170,98,8,201,113,4,0,63,92,34,138,"may",2,2020
Midlands,92,57,35,14,54,21,3,65,11,16,0,17,24,10,43,"may",2,2020
MidWest,300,195,105,40,161,91,8,98,170,32,0,55,69,41,89,"may",2,2020
NorthEast,119,75,44,17,65,25,12,32,51,36,0,17,21,13,24,"may",2,2020
NorthWest,70,53,17,11,39,19,1,28,32,10,0,5,7,3,12,"may",2,2020
SouthEast,201,146,55,34,106,55,6,51,150,0,0,11,14,8,14,"may",2,2020
SouthWest,511,320,191,55,307,131,18,337,175,0,0,84,121,47,213,"may",2,2020
West,314,174,140,46,171,87,10,169,143,0,2,72,107,37,189,"may",2,2020
